term_str,n,num,stop,pos_max,p,s,i,h,wlen,df,idf,tfidf_n_sum,tfidf_jp_sum,tfidf_cp_sum,tfidf_l2_sum,tfidf_logn_sum,tfidf_sub_sum,tfidf_max_sum,tfidf_bool_sum
0,3,1,0,CD,1.4743898483344309e-05,67824.66666666667,16.049522431757605,0.0002366325294399914,1,2,11.33622758948339,1.3968354889154348e-05,4.902781465913937e-05,4.902781465913937e-05,4.3598473744537704e-05,1.3881964595207116e-05,1.5876935454669962e-05,2.094448574416717e-05,3.3464968120055636e-05
03,1,1,0,NN,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,2,1,12.33622758948339,0.0,9.840812762987841e-06,9.840812762987841e-06,1.0579400037961854e-05,0.0,0.0,2.717921514941927e-06,1.2372100869634878e-05
030,1,1,0,NN,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,3,1,12.33622758948339,0.0,1.2912769874006896e-05,1.2912769874006896e-05,1.4923043416048957e-05,0.0,0.0,5.68867293825055e-06,1.3569793189692897e-05
04,2,1,0,NN,9.829265655562873e-06,101737.0,16.634484932478763,0.0001635047714447916,2,1,12.33622758948339,7.950959111015504e-06,2.0239852699651236e-06,2.0239852699651236e-06,4.358374356730024e-06,5.903962438569465e-06,9.037346603094196e-06,1.907716581312302e-06,1.574859578284748e-06
06,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,2,1,12.33622758948339,0.0,7.317419421793614e-06,7.317419421793614e-06,1.0137522838798377e-05,0.0,0.0,3.7081719893781293e-06,8.231507420291436e-06
07,2,1,0,NN,9.829265655562873e-06,101737.0,16.634484932478763,0.0001635047714447916,2,1,12.33622758948339,7.950959111015504e-06,0.00020161870669374904,0.00020161870669374904,6.911298667395226e-05,5.903962438569465e-06,9.037346603094196e-06,1.1630175784867796e-05,0.0001572928715966554
1,16,1,0,CD,7.863412524450298e-05,12717.125,13.634484932478761,0.0010721357958248237,1,14,8.528872667425786,8.000165667836289e-05,0.00012304944234964223,0.00012304944234964223,0.00011828625685022428,9.457562780908389e-05,8.833955640243169e-05,0.00012004460516556526,0.00013481851414521556
10,6,1,0,CD,2.9487796966688618e-05,33912.333333333336,15.049522431757605,0.00044377726191329424,2,6,9.751265088762233,2.9758418138566335e-05,1.5440980654456214e-05,1.5440980654456214e-05,2.4082504981138754e-05,3.777512248737648e-05,3.382449026878221e-05,3.7478188409255715e-05,2.3512256497660782e-05
100,13,1,0,CD,6.389022676115868e-05,15651.846153846152,13.934045214337669,0.0008902493084442715,3,12,8.751265088762233,6.53739171539463e-05,2.9526731229179205e-05,2.9526731229179205e-05,4.725085918288007e-05,8.001357448147371e-05,7.430634969605819e-05,7.837085818416443e-05,4.056305766181267e-05
1000,3,1,0,CD,1.4743898483344309e-05,67824.66666666667,16.049522431757605,0.0002366325294399914,4,3,10.751265088762233,1.283729284665208e-05,8.71239682565658e-06,8.71239682565658e-06,1.4476418313693563e-05,1.6295567440130293e-05,1.4591329584362441e-05,1.813951524147519e-05,1.1779582445872811e-05
100point,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,8,1,12.33622758948339,0.0,1.4884046046996588e-07,1.4884046046996588e-07,3.704852039819411e-07,0.0,0.0,9.667025908138519e-08,1.7640414929174703e-07
100yearold,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,10,1,12.33622758948339,0.0,9.840812762987841e-06,9.840812762987841e-06,1.2321861513408951e-05,0.0,0.0,5.68867293825055e-06,1.0908254700675076e-05
101,2,1,0,CD,9.829265655562873e-06,101737.0,16.634484932478763,0.0001635047714447916,3,2,11.33622758948339,6.661916889097728e-06,2.856016428259395e-06,2.856016428259395e-06,6.026340882639775e-06,8.45658950400489e-06,7.572174768748579e-06,8.784769930706797e-06,4.324482634003021e-06
101000fold,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,10,1,12.33622758948339,0.0,3.352087028488398e-06,3.352087028488398e-06,6.213377109420721e-06,0.0,0.0,2.717921514941927e-06,3.988254629228734e-06
101st,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,5,1,12.33622758948339,0.0,2.095404683533797e-07,2.095404683533797e-07,5.196354343206909e-07,0.0,0.0,1.304928559311879e-07,1.917959543278408e-07
103,2,1,0,CD,9.829265655562873e-06,101737.0,16.634484932478763,0.0001635047714447916,3,1,12.33622758948339,7.950959111015504e-06,5.303334828363356e-06,5.303334828363356e-06,9.496895869472783e-06,5.903962438569465e-06,9.037346603094196e-06,3.7081719893781293e-06,3.650876510902532e-06
1031,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,4,1,12.33622758948339,0.0,2.2292656354511572e-06,2.2292656354511572e-06,3.598704099836781e-06,0.0,0.0,1.4447423335239526e-06,3.357890250250828e-06
105,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,3,1,12.33622758948339,0.0,5.059646432304035e-06,5.059646432304035e-06,7.986558342342287e-06,0.0,0.0,3.7081719893781293e-06,6.0711977945470256e-06
106,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,3,1,12.33622758948339,0.0,2.5252871132871445e-06,2.5252871132871445e-06,4.406423934840872e-06,0.0,0.0,1.727671040505714e-06,3.589023855876062e-06
108,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,3,1,12.33622758948339,0.0,4.335227291291341e-06,4.335227291291341e-06,8.040581334426873e-06,0.0,0.0,3.7081719893781293e-06,4.467331557251942e-06
1091,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,4,1,12.33622758948339,0.0,2.6588470995888854e-06,2.6588470995888854e-06,5.007272641904874e-06,0.0,0.0,2.717921514941927e-06,3.357890250250828e-06
10second,1,1,0,JJ,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,8,1,12.33622758948339,0.0,1.2843317887860902e-06,1.2843317887860902e-06,2.7748128236013317e-06,0.0,0.0,8.274433364728057e-07,1.574859578284748e-06
11,5,1,0,CD,2.457316413890718e-05,40694.8,15.3125568375914,0.00037627797255647893,2,4,10.33622758948339,2.5358625334473134e-05,3.259352241643213e-05,3.259352241643213e-05,3.575307591772173e-05,2.8680255307405157e-05,2.882352724064868e-05,3.1292026992991716e-05,2.5097630156589033e-05
1138,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,4,1,12.33622758948339,0.0,1.7559427688993713e-05,1.7559427688993713e-05,1.824233035790865e-05,0.0,0.0,1.1630175784867796e-05,1.7796942554603564e-05
114,1,1,0,CD,4.914632827781436e-06,203474.0,17.634484932478763,8.666701855017724e-05,3,1,12.33622758948339,0.0,7.71584994935059e-06,7.71584994935059e-06,9.562509505856695e-06,0.0,0.0,2.1237712302802014e-06,8.497213951800106e-06
