topic_id,0,1,2,3,4,5,6,7,8,9,label,doc_weight_sum
0,time,hat,dead,butt,idea,look,customers,watch,hat hat,news,"0 time, hat, dead, butt, idea, look, customers, watch, hat hat, news",99.55031810888842
1,sorry,course,time,day,shh,stark,weapon,drop,captain,yeah,"1 sorry, course, time, day, shh, stark, weapon, drop, captain, yeah",123.48967824422553
2,heart,gonna,future,people,congratulations,right,island,honor,way,time,"2 heart, gonna, future, people, congratulations, right, island, honor, way, time",95.97882307517308
3,huh,boo,end,bear,monster,power,somebody,thing,conflict,evidence,"3 huh, boo, end, bear, monster, power, somebody, thing, conflict, evidence",108.88847733967236
4,friend,boy,time,speed,joy,ones,life,years,race,rocket,"4 friend, boy, time, speed, joy, ones, life, years, race, rocket",105.09913042098565
5,kid,yeah,look,time,scare,right,youre,huh,good,car,"5 kid, yeah, look, time, scare, right, youre, huh, good, car",113.93936088335536
6,friends,suit,mother,music,mom,home,girl,house,stay,family,"6 friends, suit, mother, music, mom, home, girl, house, stay, family",112.98389350639106
7,whoa,energy,whoa whoa,luck,wow,life,attention,rule,place,people,"7 whoa, energy, whoa whoa, luck, wow, life, attention, rule, place, people",113.97838429098795
8,moment,hmm,thor,kind,target,dont,hes,way,eyes,boss,"8 moment, hmm, thor, kind, target, dont, hes, way, eyes, boss",109.9247168049487
9,welcome,youre,things,swimming,dory,thank,swimming swimming,papa,man,gonna,"9 welcome, youre, things, swimming, dory, thank, swimming swimming, papa, man, gonna",96.09620298848743
10,stop,party,cat,hey,life,gonna,rebellion,hello,closet,empire,"10 stop, party, cat, hey, life, gonna, rebellion, hello, closet, empire",106.844239876244
11,way,home,point,view,daughter,time,thats,turn,sorry,right,"11 way, home, point, view, daughter, time, thats, turn, sorry, right",134.31149140958976
12,man,game,sorry,thank,word,fun,day,sure,world,dory,"12 man, game, sorry, thank, word, fun, day, sure, world, dory",107.08172884301817
13,hook,way,bit,maui,love,ooh,time,thing,deal,beast,"13 hook, way, bit, maui, love, ooh, time, thing, deal, beast",102.75223955272072
14,sir,yes,yes sir,body,nemo,im,trade,youre,men,gonna,"14 sir, yes, yes sir, body, nemo, im, trade, youre, men, gonna",163.19427404542384
15,yeah,time,dream,school,today,gonna,day,life,attack,hands,"15 yeah, time, dream, school, today, gonna, day, life, attack, hands",126.13149781955657
16,ha,ha ha,lets,lot,stones,hammer,time,pressure,whos,gonna,"16 ha, ha ha, lets, lot, stones, hammer, time, pressure, whos, gonna",110.24423990728951
17,dad,time,okay,father,message,gonna,man,dad dad,town,job,"17 dad, time, okay, father, message, gonna, man, dad dad, town, job",90.27735415804125
18,girl,time,father,head,plan,guys,sorry,youre,beast,village,"18 girl, time, father, head, plan, guys, sorry, youre, beast, village",135.2727597464899
19,yeah,hell,dude,time,man,years,hours,sorry,yeah yeah,way,"19 yeah, hell, dude, time, man, years, hours, sorry, yeah yeah, way",115.98635476229025
20,time,care,team,mack,feet,mind,man,right,world,mack mack,"20 time, care, team, mack, feet, mind, man, right, world, mack mack",101.91145966104634
21,okay,hey,hey hey,yeah,thing,spark,train,okay okay,mask,left,"21 okay, hey, hey hey, yeah, thing, spark, train, okay okay, mask, left",167.3076883872401
22,youre,minute,time,morning,droids,fine,oh,way,right,position,"22 youre, minute, time, morning, droids, fine, oh, way, right, position",133.34659848580299
23,elsa,sister,love,way,uh,doesnt,years,kingdom,world,books,"23 elsa, sister, love, way, uh, doesnt, years, kingdom, world, books",93.4045989731429
24,right,looks,strength,hand,thing,cold,birthday,head,storm,way,"24 right, looks, strength, hand, thing, cold, birthday, head, storm, way",111.76915120058598
25,gonna,kids,talk,powers,mission,fear,time,fight,area,people,"25 gonna, kids, talk, powers, mission, fear, time, fight, area, people",111.18614726402166
26,guy,ship,fleet,shield,right,space,yeah,gate,everybody,plans,"26 guy, ship, fleet, shield, right, space, yeah, gate, everybody, plans",126.84090715867255
27,time,lady,memory,way,brother,isnt,dont,youre,car,core,"27 time, lady, memory, way, brother, isnt, dont, youre, car, core",113.18631663934515
28,ah,son,blood,man,right,bye,hold,drive,death,day,"28 ah, son, blood, man, right, bye, hold, drive, death, day",104.17386524938144
29,help,dont,control,work,memories,engine,core,youve,theyre,things,"29 help, dont, control, work, memories, engine, core, youve, theyre, things",127.58414782025153
30,matter,day,gonna,buddy,brothers,face,great,wait,circumstances,finn,"30 matter, day, gonna, buddy, brothers, face, great, wait, circumstances, finn",97.5008524854786
31,master,time,vers,night,youre,case,hero,shes,thing,guy,"31 master, time, vers, night, youre, case, hero, shes, thing, guy",111.25233487820284
32,power,wait,uh,people,wait wait,come,weapons,jump,cube,things,"32 power, wait, uh, people, wait wait, come, weapons, jump, cube, things",118.3818992811418
33,door,door door,youre,monsters,hey,chance,guys,tower,ships,field,"33 door, door door, youre, monsters, hey, chance, guys, tower, ships, field",112.21013832446805
34,people,guest,time,right,soul,family,guest guest,world,war,power,"34 people, guest, time, right, soul, family, guest guest, world, war, power",115.62342902086866
35,hair,stone,life,time,summer,yeah,day,way,face,gotta,"35 hair, stone, life, time, summer, yeah, day, way, face, gotta",115.19208787252443
36,hello,boat,yeah,place,sea,anybody,road,heart,bubbles,board,"36 hello, boat, yeah, place, sea, anybody, road, heart, bubbles, board",110.83084414833783
