term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
5days,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996446,0.025,0.025,0.025
aaaaah,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999994244,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999991686,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aaaah,2.024999999999506,1.0249999999994124,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aaah,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995623,9.024999999999014,0.025,1.024999999999596,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aah,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0109431970803717,0.025,6.024999999999237,0.025,0.025,2.0249999999996056,0.025,0.025,0.025,0.025,2.0249999999996664,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996178,0.025,0.025,0.025,1.0390568029189609,0.025,0.025,0.025,0.025,0.025,1.0249999999996344
aarrrrggghhhhh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997033,0.025,0.025,0.025,0.025,0.025,0.025,0.025
abilities,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994874,1.0249999999995556,3.024999999999269,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999993362,0.025,0.025,0.025,0.025,0.025,1.0249999999995685,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025000000000000005
ability,0.025,0.025,0.025,2.024999999999629,1.024999999999654,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995916,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995019,0.025
aboard,0.025,1.024999999999569,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999544,2.024999999997906,0.025,0.025,0.025,0.025000000000000012,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999537,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aboard explorers,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999544,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999537,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
access,0.025,0.025,1.2557471446684905,1.024999999999755,0.025,0.025,0.025,0.025000000000000005,2.024999999999724,1.024999999999537,0.025,0.025,0.025,1.024999999999616,0.025,0.025,0.025000000000000005,0.025,1.0249999999995103,2.024999999999637,4.794252855329596,0.025,0.025,1.024999999999485,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
